"player_id","n_innings_hist","n_future_innings","threshold","P_total_gt_threshold","median_sim_total","sim_q10","sim_q90"
"Player_068",50,10,200,0.96,394,242,509
"Player_069",50,10,200,0.8,253,190.4,394.6
"Player_070",50,10,200,0.88,254,199.4,403.8
"Player_071",50,10,200,1,483,336,700.2
"Player_072",50,10,200,0.8,281,177.4,366
"Player_073",50,10,200,1,479,373.6,671.2
"Player_074",50,10,200,1,381,313.2,482.6
"Player_075",50,10,200,0,101,77.8,155.8
"Player_076",50,10,200,0.6,227,157,313.8
"Player_077",50,10,200,0.56,232,165.4,301.4
"Player_078",50,10,200,0.84,226,194.8,361
"Player_079",50,10,200,0.76,269,176.4,369.4
"Player_080",50,10,200,0.68,239,131.6,367.4
"Player_081",50,10,200,1,448,345.4,636.6
"Player_082",50,10,200,0.92,372,244.4,582.4
"Player_083",50,10,200,1,495,370,608.2
"Player_084",50,10,200,1,372,267.8,504.2
"Player_085",50,10,200,0.88,331,203.6,443.8
"Player_086",50,10,200,1,850,653.2,1424.6
"Player_087",50,10,200,0.68,239,144.8,353.4
"Player_088",50,10,200,0.96,357,239.4,434.8
"Player_089",50,10,200,0.96,324,223.6,440
"Player_090",50,10,200,0.56,207,124.6,280.2
"Player_091",50,10,200,0.4,193,128.2,234.2
"Player_092",50,10,200,1,440,364,693.4
"Player_093",50,10,200,0.72,221,152.4,317.4
"Player_094",50,10,200,0.68,229,164,319
"Player_095",50,10,200,0.2,171,112.2,211.6
"Player_096",50,10,200,1,398,323.6,602
"Player_097",50,10,200,0.96,349,257.6,508
"Player_098",50,10,200,0.96,376,248,571.6
"Player_099",50,10,200,0.92,365,220.2,489.4
"Player_100",50,10,200,0.64,210,144.2,306.6
"Player_101",50,10,200,1,418,306,588.4
"Player_102",50,10,200,0.92,345,203.6,486.4
"Player_103",50,10,200,0.36,192,137.4,256.6
"Player_104",50,10,200,0.96,298,237.4,431.8
"Player_105",50,10,200,0.88,301,196.2,447.2
"Player_106",50,10,200,0.88,323,197.6,449
"Player_107",50,10,200,0.96,369,302.4,463
"Player_108",50,10,200,0.96,366,237.2,459.6
"Player_109",50,10,200,1,345,267.2,467
"Player_110",50,10,200,0.96,351,237.6,440.8
"Player_111",50,10,200,1,393,298.8,637
"Player_112",50,10,200,0.2,156,127.8,242.2
"Player_113",50,10,200,1,444,266.2,592.8
"Player_114",50,10,200,0.96,284,215,410.8
"Player_115",50,10,200,1,509,360.2,614.2
"Player_116",50,10,200,0.96,290,228.8,397.4
"Player_117",50,10,200,1,437,323.6,578.2
"Player_118",50,10,200,0.96,366,249.4,503.6
"Player_119",50,10,200,1,280,223.6,360.2
"Player_120",50,10,200,0.48,197,134.8,302.6
"Player_121",50,10,200,1,476,333.8,590.6
"Player_122",50,10,200,0.96,322,226.8,464.6
"Player_123",50,10,200,1,337,241,497
"Player_124",50,10,200,0.84,246,179.2,349.2
"Player_125",50,10,200,1,453,325.4,590.8
"Player_126",50,10,200,0.44,178,146.8,244
"Player_127",50,10,200,0.92,286,216.8,412.8
"Player_128",50,10,200,0.56,208,146.4,296
"Player_129",50,10,200,0.88,276,199,344
"Player_130",50,10,200,0.92,349,233.2,428.6
"Player_131",50,10,200,0.72,239,162.4,320.8
"Player_132",50,10,200,1,472,365.2,761.6
"Player_133",50,10,200,0.44,194,157.6,253.2
"Player_134",50,10,200,0.96,308,233.8,485.8
"Player_135",50,10,200,0.96,359,283,463.6
"Player_136",50,10,200,1,514,389.6,738.6
"Player_137",50,10,200,0.68,235,171.4,290.2
"Player_138",50,10,200,0.96,348,230.6,403.4
"Player_139",50,10,200,0.84,282,194.2,397
"Player_140",50,10,200,0.12,125,75.4,195
"Player_141",50,10,200,0.92,284,212,405.6
"Player_142",50,10,200,0.12,150,93,191.8
"Player_143",50,10,200,0.76,237,180.2,308.6
"Player_144",50,10,200,0.4,177,144.2,271.4
"Player_145",50,10,200,1,413,243.8,566.6
"Player_146",50,10,200,0.84,253,185.2,343.6
"Player_147",50,10,200,0.96,464,301.2,588.4
"Player_148",50,10,200,0.84,239,192.4,367.6
"Player_149",50,10,200,0.28,181,118.4,251.8
"Player_150",50,10,200,0.8,270,192.4,348
"Player_151",50,10,200,0.96,363,250.8,508.8
"Player_152",50,10,200,1,329,218.6,425.4
"Player_153",50,10,200,0.8,248,175.6,324.4
"Player_154",50,10,200,0.96,315,214.4,481.6
"Player_155",50,10,200,0.96,350,227.6,431.4
"Player_156",50,10,200,0.76,271,187.4,410
"Player_157",50,10,200,0.96,313,249.8,403.6
"Player_158",50,10,200,0.8,286,181.2,351
"Player_159",50,10,200,0.92,298,234.6,379.4
"Player_160",50,10,200,0.8,245,171,397.8
"Player_161",50,10,200,0.76,250,146.8,323.4
"Player_162",50,10,200,0.92,333,230.6,460
"Player_163",50,10,200,0.92,362,245.8,512.2
"Player_164",50,10,200,1,510,343.6,704.6
"Player_165",50,10,200,0.92,276,217.8,348.2
"Player_166",50,10,200,0.8,251,191,322.8
"Player_167",50,10,200,1,378,251.4,506.2
"Player_168",50,10,200,1,610,371.4,822.4
"Player_169",50,10,200,0.44,187,129.6,250.4
"Player_170",50,10,200,0.96,320,237.4,416.8
"Player_171",50,10,200,0.76,214,179.4,362.4
"Player_172",50,10,200,1,401,279.8,556
"Player_173",50,10,200,1,423,354.8,567.8
"Player_174",50,10,200,0.16,128,85.8,206.8
"Player_175",50,10,200,1,414,321.8,596.4
"Player_176",50,10,200,0.88,256,195.8,371.4
"Player_177",50,10,200,0.08,135,95.8,183.6
"Player_178",50,10,200,0.76,241,126.6,299
"Player_179",50,10,200,1,308,231.2,394.4
"Player_180",50,10,200,0.36,166,139.2,230.8
"Player_181",50,10,200,0.76,233,168.6,313
"Player_182",50,10,200,1,470,296.8,639.2
"Player_183",50,10,200,1,329,254,482.2
"Player_184",50,10,200,1,263,218.6,335.8
"Player_185",50,10,200,0.88,271,204,350.8
"Player_186",50,10,200,1,350,276.4,425.6
"Player_187",50,10,200,1,355,285.8,520
"Player_188",50,10,200,1,470,338.6,558.2
"Player_189",50,10,200,1,400,257.4,515
"Player_190",50,10,200,0.64,225,170.6,300.4
"Player_191",50,10,200,0.92,345,216.6,399.2
"Player_192",50,10,200,0.96,351,246,524.6
"Player_193",50,10,200,0.96,384,267.8,473.8
"Player_194",50,10,200,1,643,452,959.4
"Player_195",50,10,200,1,716,484.4,981
"Player_196",50,10,200,1,371,283.8,522.4
"Player_197",50,10,200,0.32,196,149.6,245.8
"Player_198",50,10,200,0.4,192,132,299.8
"Player_199",50,10,200,0.52,206,160.2,303
"Player_200",50,10,200,0.96,741,434.2,952.2
